Site,Date,Month,Time,Hour,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindDir,WindRun,HiSpeed,HiDir,WindChill,HeatIndex,THWIndex,THSWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad,HeatD-D,CoolD-D,InTemp,InHum,InDew,InHeat,InEMC,InAirDensity,ET,WindSamp,WindTx,ISSRecept,ArcInt
SiteC,2023-01-01 00:00:00,1,00:00:00,0,-4.341728350504593,40.18089348993553,27.451779680261645,38.23902786595946,-5.733891302882799,17.730572988679512,106.86012058684825,302.0691905767155,22.131294325114467,86.16011341371316,25.453620523870498,39.31010714606817,-0.6862705581817021,4.204136290199871,1019.5198010442152,0.865920519035257,39.381594646649,222.4467831964319,1.8006587532640217,1167.8046123128038,3.4895056184897055,9.389025549739124,6.955979943901984,87.40168810430363,12.22682637293288,1.0997540568994117,24.863831400236336,1.0174439878262223,3.7453454825120702,46,58,47.38094770663055,0.17907913605321513
SiteA,2023-01-01 01:00:00,1,01:00:00,1,4.325903489599524,0.5497406960905327,10.669332729438441,69.20625150292227,12.310176013791715,8.370344465301953,191.34045665509865,342.6049760565059,26.373419827469675,312.8968491185693,21.30617337641006,4.55047230401912,-4.944088408576459,35.920566097579105,990.5884090838422,4.529030139674096,20.47156977759064,313.8602169132015,5.819700323852417,851.5939334218504,1.890680117063721,6.385529676083021,21.217839082061882,41.94276264688948,14.835058603388852,21.83178300391993,6.664532689213454,1.0001265660344631,2.4520333714686204,11,43,67.54982837758959,0.8769953215225412
SiteC,2023-01-01 02:00:00,1,02:00:00,2,27.095614063750155,3.8560728801209745,20.57782962177721,43.1668083003435,22.350038793761314,13.378656488708069,110.02609586418816,44.69358510572818,23.79034342489015,136.43197472163428,16.69206545455081,5.4506721722122276,41.8217340475602,19.91369143897274,1006.448710010455,2.900772698144136,19.304630115178828,574.590543961591,5.758993231028695,652.4294987939263,6.178133692126578,0.9448190493743125,8.97509459126734,88.49899557730565,17.6849982730397,6.454173008540654,38.11428278159419,1.9264705338314032,1.2501851818847698,20,12,3.2713504284243133,3.264285677030083
SiteC,2023-01-01 03:00:00,1,03:00:00,3,12.39790776852254,16.43324121947424,19.33484407473479,59.42588852900969,-4.871340471504468,12.318685725526763,336.35501805190216,206.1976231568855,20.751897833810695,246.21713704785037,-1.7154941838262552,38.72129447916671,36.91411524224002,30.485585583900715,1025.9666312400848,4.123436760126657,1.079598438166962,415.0442011560084,6.401206185861303,556.2880679186324,2.49551417333305,8.763179943434249,21.704566171657916,28.325803701682297,-1.052785876248234,20.27344983636164,12.279900927588738,1.10205605234954,2.9049509652490038,48,8,74.28733844257502,1.3333167890649744
SiteA,2023-01-01 04:00:00,1,04:00:00,4,24.811777612372367,1.3356367617119433,-8.260049716858472,76.98744691076757,-6.019103673036934,7.540862737090322,137.74744040511226,303.5381953005077,21.0546658666994,163.486696735383,-1.8075189029126726,41.47221324124864,6.5772614168217824,1.9914355381553879,1000.3635150535205,8.354392834551161,43.22841640005483,5.183552761824561,0.9929827231321253,773.8046015469743,8.868145217143015,8.294310325086782,16.28161964208301,58.0988616406301,24.557989935164436,20.64633544156703,0.6952846506588006,1.5977824187782619,0.08060675610073842,11,8,35.64328396126773,0.3120987186493285
SiteA,2023-01-01 05:00:00,1,05:00:00,5,10.613319688055128,23.314807186204373,-1.7462667170900623,46.763067803954364,22.677679946800836,11.305424142944657,79.13294955883075,433.78147745265625,4.832954509095764,127.49859063100944,9.654208771061086,36.890565004544584,23.881652575285166,20.8926328357736,1011.0227496346821,9.790975024922284,49.96980625746247,396.6893552029827,6.8868643546734845,823.7054352939283,2.723817570515845,7.396274388038517,22.219705180088454,70.75658842627524,-2.7531807499957903,22.96530453003151,7.375008419164175,1.5672428991766472,8.78628269581213,35,33,56.190454042859336,8.915319365105614
SiteC,2023-01-01 06:00:00,1,06:00:00,6,12.58398185483367,14.92002333047122,30.208850081815847,99.97253482340754,21.86944155564891,4.20424067797722,52.54734475331258,357.34367480061724,28.520159698866767,221.14981834031013,11.236833075614573,-2.9367511841188754,35.0801130186757,33.81690287533417,984.3130505848793,1.8039135157934594,37.16412431202151,312.924201597997,4.03303276556798,1191.4523887347584,1.061478638599368,1.6339428407972012,21.500226117826138,20.240865612842775,2.663713841704195,42.27121605528387,32.50496105777278,1.6006213339783746,4.484351130699476,40,42,46.4561410981596,6.337916727265242
SiteB,2023-01-01 07:00:00,1,07:00:00,7,2.1405493160358215,9.229789726795921,32.25014663142587,36.81543342119522,7.947725478538715,10.92214517390375,227.4149496213916,126.40363332985727,6.169928216656148,192.99830980060096,0.24381258928503513,27.60346047786021,13.326867802833874,12.279362528325237,986.5069059903532,0.6111401298043606,48.54934048465786,606.1208184751346,6.104510957585005,419.20625107743336,9.888133979998157,6.177483995197965,0.21254461978141403,88.29798623367651,-1.556079725936073,28.320048202259752,47.14972638442465,1.5052625066234278,4.442116555519813,13,22,77.91435335935051,3.771174206660927
SiteC,2023-01-01 08:00:00,1,08:00:00,8,6.620395884977201,3.4994906508818637,25.119783796002984,98.04235166853553,-5.611553245597407,15.976591809807584,117.5981817472617,492.46314494545317,10.468564935498181,83.6756665066635,-5.065183966176465,17.556871048590367,31.95253476569878,4.341177666680316,968.7647452964522,1.9694224003853233,24.775010910622257,139.25691551836334,9.207949126801399,254.92407236660344,3.8808132767066095,7.855436951469433,28.024415401944918,64.93218894340433,21.71018351506462,1.7726256854905715,38.00106813856387,1.946401496203288,6.5837852895813285,20,24,74.27082124200818,9.894116236410644
SiteC,2023-01-01 09:00:00,1,09:00:00,9,22.243529087841427,11.766911917410514,31.456166674746257,28.272669870980256,10.644926292678068,15.178955391825326,67.96613973051889,321.5182954100772,15.539595428789514,121.04704760101166,4.5281485949339295,35.39123746676071,38.43291783822781,26.9733993327172,1049.182211262385,8.725583128828067,29.08095906623448,822.0781956847032,3.3863658896088333,510.2283350259183,6.56097967724129,7.135146005174054,23.497578778500706,15.395013529598973,19.96905635381399,33.03183366610434,16.147158160244786,1.3498352431309861,1.6692141003211403,18,21,0.2507293765312779,9.958961905127518
